Model:	LI-7810
SN:	TG10-01449
Software Version:	2.3.3
Timestamp:	2022-12-05 08:00:00
Timezone:	Europe/Copenhagen
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1670229572	834263086	10565	0	""	2022-12-05	09:39:32	6316.4316	462.31506	2064.5337	39.7463	55.0003	27.9538	37.0427	0.0012382	11.8604	54.4998	83.75	-0.346409	14.8904	137
DATA	1670229573	834263086	10569	0	""	2022-12-05	09:39:33	6312.6128	462.34647	2062.8123	39.7467	55.0003	27.9547	37.0427	0.00123038	11.8606	54.4998	25.5	-0.346409	14.8908	145
DATA	1670229574	834263086	10573	0	""	2022-12-05	09:39:34	6307.2378	462.73865	2062.5774	39.7467	55.0005	27.9592	37.0427	0.00122917	11.8601	54.4998	27.75	-0.346409	14.8912	217
DATA	1670229575	834263086	10577	0	""	2022-12-05	09:39:35	6300.8418	462.39474	2061.9966	39.7479	55.0003	27.9567	37.0427	0.00121916	11.8601	54.4998	-51	-0.346409	14.8912	110
DATA	1670229576	834263086	10581	0	""	2022-12-05	09:39:36	6294.8096	463.66782	2061.0286	39.7467	55.0005	27.9559	37.0431	0.00122283	11.8605	54.4998	-10.5	-0.346409	14.8908	206
DATA	1670229577	834263086	10585	0	""	2022-12-05	09:39:37	6288.8906	463.78458	2059.7532	39.7471	55.0003	27.9547	37.0429	0.00121959	11.8605	54.4998	-47.75	-0.346409	14.8904	 37
DATA	1670229578	834263086	10589	0	""	2022-12-05	09:39:38	6282.1558	463.66766	2059.6736	39.7467	55.0003	27.9547	37.0425	0.00122067	11.8604	54.4998	57.25	-0.346409	14.8912	234
DATA	1670229579	833966016	10593	0	""	2022-12-05	09:39:39	6275.5693	464.72723	2058.7754	39.7471	55.0003	27.9542	37.0427	0.00123165	11.8599	54.4998	-2.5	-0.346409	14.8908	177
DATA	1670229580	833966016	10597	0	""	2022-12-05	09:39:40	6272.0249	464.06973	2057.9678	39.7475	55.0005	27.9567	37.0429	0.00122361	11.8607	54.4998	16	-0.346409	14.8896	 81
DATA	1670229581	833966016	10601	0	""	2022-12-05	09:39:41	6267.4746	464.91196	2057.3887	39.7463	55.0003	27.9583	37.0429	0.00122611	11.8603	54.4998	-56.5	-0.346409	14.8904	201
DATA	1670229582	833966016	10605	0	""	2022-12-05	09:39:42	6264.1616	464.98425	2056.8232	39.7463	55.0003	27.9547	37.0429	0.001236	11.8606	54.4998	-85	-0.346409	14.8896	  6
DATA	1670229583	833966016	10609	0	""	2022-12-05	09:39:43	6262.8911	465.41687	2056.3206	39.7471	55.0003	27.9526	37.0427	0.00121797	11.8607	54.4998	69.5	-0.346409	14.8884	169
DATA	1670229584	833966016	10613	0	""	2022-12-05	09:39:44	6260.582	465.14069	2056.0056	39.7459	55.0003	27.9547	37.0427	0.00121888	11.8604	54.4998	-21	-0.346409	14.89	196
DATA	1670229585	833966016	10617	0	""	2022-12-05	09:39:45	6260.1646	465.47864	2055.5537	39.7471	55.0003	27.9538	37.0427	0.00121698	11.8607	54.4998	54	-0.346409	14.8896	 80
DATA	1670229586	833671092	10621	0	""	2022-12-05	09:39:46	6259.4731	466.16095	2054.9648	39.7459	55.0003	27.9555	37.0427	0.00122542	11.8604	54.4998	-34.75	-0.346409	14.888	212
DATA	1670229587	833671092	10625	0	""	2022-12-05	09:39:47	6259.687	465.2561	2054.5549	39.7463	55.0003	27.953	37.0431	0.00122319	11.8606	54.4998	-16	-0.346409	14.8896	212
DATA	1670229588	833671092	10629	0	""	2022-12-05	09:39:48	6260.6724	465.28687	2054.4746	39.7467	55.0005	27.9538	37.0427	0.00122136	11.8606	54.4998	-35.5	-0.346409	14.888	172
DATA	1670229589	833671092	10633	0	""	2022-12-05	09:39:49	6261.7324	464.95004	2053.9055	39.7463	55.0005	27.9534	37.0429	0.0012205	11.8609	54.4998	77.75	-0.346409	14.888	110
DATA	1670229590	833671092	10637	0	""	2022-12-05	09:39:50	6264.9551	466.33966	2053.0366	39.7463	55.0003	27.9547	37.0431	0.00122498	11.8605	54.4998	-56.75	-0.346409	14.8888	  9
DATA	1670229591	833671092	10641	0	""	2022-12-05	09:39:51	6265.3276	466.94165	2052.4419	39.7459	55.0005	27.953	37.0429	0.00123203	11.8605	54.4998	-37	-0.346409	14.888	249
DATA	1670229592	833671092	10645	0	""	2022-12-05	09:39:52	6268.0864	466.36267	2051.574	39.7467	55.0003	27.9538	37.0431	0.00122696	11.8607	54.4998	65.25	-0.346409	14.888	118
DATA	1670229593	833671092	10649	0	""	2022-12-05	09:39:53	6270.7031	466.84204	2051.3274	39.7463	55.0003	27.9522	37.0427	0.00123635	11.8605	54.4998	-53.25	-0.346409	14.888	180
DATA	1670229594	833383083	10653	0	""	2022-12-05	09:39:54	6273.728	467.58185	2050.7913	39.7467	55.0003	27.9506	37.0431	0.00122398	11.8603	54.4998	173.75	-0.346409	14.888	166
DATA	1670229595	833383083	10657	0	""	2022-12-05	09:39:55	6276.0054	468.3298	2050.2158	39.7467	55.0003	27.9514	37.0429	0.00123162	11.8603	54.4998	-14.75	-0.346409	14.8892	197
DATA	1670229596	833383083	10661	0	""	2022-12-05	09:39:56	6279.6523	468.16891	2049.7847	39.7471	55.0003	27.9514	37.0425	0.00122439	11.8604	54.4998	5	-0.346409	14.8872	 22
DATA	1670229597	833383083	10665	0	""	2022-12-05	09:39:57	6284.9067	467.22284	2049.2944	39.7463	55.0003	27.9514	37.0429	0.00122787	11.86	54.4998	19	-0.346409	14.8876	239
DATA	1670229598	833383083	10669	0	""	2022-12-05	09:39:58	6288.7476	467.77289	2048.9026	39.7475	55.0003	27.9526	37.0427	0.00122879	11.8598	54.4998	-1.25	-0.346409	14.8876	  6
DATA	1670229599	833383083	10673	0	""	2022-12-05	09:39:59	6292.6787	468.79105	2048.2932	39.7479	55.0003	27.953	37.0427	0.00123214	11.8598	54.4998	22.25	-0.346409	14.8872	184
DATA	1670229600	833383083	10677	0	""	2022-12-05	09:40:00	6297.3315	469.20499	2048.2617	39.7463	55.0003	27.9522	37.0431	0.00123571	11.8607	54.4998	-77.25	-0.346409	14.8872	230
DATA	1670229601	833080053	10681	0	""	2022-12-05	09:40:01	6302.0752	468.77637	2047.7384	39.7475	55.0003	27.953	37.0429	0.00122782	11.86	54.4998	56.75	-0.346409	14.8872	 35
DATA	1670229602	833080053	10685	0	""	2022-12-05	09:40:02	6306.7354	468.7291	2047.1075	39.7471	55.0003	27.9522	37.0429	0.00123441	11.8596	54.4998	-0.25	-0.346409	14.8869	117
