Model:	LI-7820
SN:	TG20-01079
Software Version:	2.1.41
Timestamp:	2022-09-28 10:34:19
Timezone:	Europe/Copenhagen
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	N2O	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1664361535	557736158	74775	0	""	2022-09-28	12:38:55	11840.104	344.75354	39.8275	55.0003	31.6048	34.8853	0.00218299	38.4452	54.4998	18.2	-0.10586	14.2676	158
DATA	1664361536	557736158	74785	0	""	2022-09-28	12:38:56	11849.04	344.81314	39.8278	55.0003	31.6049	34.8853	0.00219106	38.4414	54.4998	17.1	-0.10586	14.2671	 97
DATA	1664361537	557736158	74795	0	""	2022-09-28	12:38:57	11858.486	344.53952	39.8273	55.0003	31.6061	34.8853	0.0021919	38.4421	54.4998	0	-0.10586	14.2681	217
DATA	1664361538	557607173	74805	0	""	2022-09-28	12:38:58	11868.618	344.88354	39.8272	55.0003	31.6067	34.8853	0.0021946	38.4401	54.4998	-10.1	-0.10586	14.2681	143
DATA	1664361539	557607173	74815	0	""	2022-09-28	12:38:59	11877.138	344.88171	39.8272	55.0003	31.6061	34.8853	0.00219352	38.4411	54.4998	-22	-0.10586	14.2677	 96
DATA	1664361540	557607173	74825	0	""	2022-09-28	12:39:00	11889.133	345.00113	39.828	55.0003	31.6063	34.8853	0.00219136	38.4404	54.4998	23.9	-0.10586	14.2677	 69
DATA	1664361541	557485103	74835	0	""	2022-09-28	12:39:01	11896.041	344.77518	39.8277	55.0003	31.6063	34.8853	0.00218753	38.4398	54.4998	4.2	-0.10586	14.2677	101
DATA	1664361542	557485103	74845	0	""	2022-09-28	12:39:02	11904.364	344.5567	39.827	55.0003	31.6045	34.8853	0.002195	38.4393	54.4998	-7.7	-0.10586	14.2677	193
DATA	1664361543	557485103	74855	0	""	2022-09-28	12:39:03	11910.937	344.5676	39.8278	55.0003	31.6051	34.8853	0.00219636	38.4397	54.4998	-2.2	-0.10586	14.2676	 96
DATA	1664361544	557361125	74865	0	""	2022-09-28	12:39:04	11918.299	344.90857	39.8275	55.0003	31.6063	34.8853	0.0021908	38.4388	54.4998	19.4	-0.10586	14.2668	117
DATA	1664361545	557361125	74875	0	""	2022-09-28	12:39:05	11925.283	345.16672	39.8272	55.0003	31.6033	34.8853	0.00219427	38.4397	54.4998	-18.5	-0.10586	14.2668	197
DATA	1664361546	557361125	74885	0	""	2022-09-28	12:39:06	11932.145	344.96518	39.8272	55.0003	31.6038	34.8853	0.00219135	38.4404	54.4998	24.2	-0.10586	14.2662	134
DATA	1664361547	557233095	74895	0	""	2022-09-28	12:39:07	11940.804	344.9472	39.8272	55.0003	31.6046	34.8853	0.00218879	38.4383	54.4998	-10.9	-0.10586	14.2665	156
DATA	1664361548	557233095	74905	0	""	2022-09-28	12:39:08	11948.171	344.61316	39.8275	55.0002	31.6049	34.8853	0.002195	38.438	54.4998	-0.8	-0.10586	14.2665	244
DATA	1664361549	557233095	74915	0	""	2022-09-28	12:39:09	11954.684	344.98578	39.827	55.0003	31.6059	34.8853	0.00219449	38.4378	54.4998	-26.7	-0.10586	14.2665	184
DATA	1664361550	557106018	74925	0	""	2022-09-28	12:39:10	11960.379	344.91656	39.827	55.0003	31.6048	34.8853	0.00219799	38.4393	54.4998	40.5	-0.10586	14.2665	103
DATA	1664361551	557106018	74935	0	""	2022-09-28	12:39:11	11963.909	344.50391	39.8278	55.0003	31.6048	34.8853	0.00219962	38.4371	54.4998	-28.3	-0.10586	14.266	139
DATA	1664361552	557106018	74945	0	""	2022-09-28	12:39:12	11968.657	344.91409	39.8275	55.0003	31.604	34.8853	0.0021998	38.4375	54.4998	-3.4	-0.10586	14.266	251
DATA	1664361553	556976079	74955	0	""	2022-09-28	12:39:13	11974.144	345.25113	39.8282	55.0003	31.6036	34.8853	0.00219853	38.437	54.4998	2.9	-0.10586	14.2665	 54
DATA	1664361554	556976079	74965	0	""	2022-09-28	12:39:14	11979.081	344.80722	39.827	55.0003	31.6043	34.8853	0.00219814	38.4366	54.4998	44.7	-0.10586	14.2668	120
DATA	1664361555	556976079	74975	0	""	2022-09-28	12:39:15	11983.853	345.09119	39.8273	55.0003	31.6056	34.8853	0.00219679	38.4369	54.4998	-46.2	-0.10586	14.266	180
DATA	1664361556	556847095	74985	0	""	2022-09-28	12:39:16	11989.05	345.25412	39.8272	55.0003	31.6045	34.8853	0.00219879	38.4357	54.4998	6	-0.10586	14.2662	228
DATA	1664361557	556847095	74995	0	""	2022-09-28	12:39:17	11995.855	344.737	39.8282	55.0003	31.6061	34.8853	0.00220084	38.4354	54.4998	8.4	-0.10586	14.266	221
DATA	1664361558	556847095	75005	0	""	2022-09-28	12:39:18	11997.228	345.25018	39.8273	55.0003	31.6054	34.8853	0.00220398	38.436	54.4998	6.3	-0.10586	14.266	254
DATA	1664361559	556730031	75015	0	""	2022-09-28	12:39:19	12003.158	344.63147	39.8277	55.0003	31.6048	34.8853	0.00219333	38.4368	54.4998	-22.5	-0.10586	14.2659	176
DATA	1664361560	556730031	75025	0	""	2022-09-28	12:39:20	12008.394	344.61978	39.8267	55.0003	31.6032	34.8853	0.00219466	38.4381	54.4998	8.2	-0.10586	14.2654	 75
DATA	1664361561	556730031	75035	0	""	2022-09-28	12:39:21	12012.689	344.38455	39.8277	55.0003	31.6038	34.8853	0.00219353	38.4365	54.4998	38.8	-0.10586	14.2652	133
DATA	1664361562	556600093	75045	0	""	2022-09-28	12:39:22	12020.414	344.79214	39.8277	55.0003	31.6054	34.8853	0.0021937	38.4357	54.4998	-39	-0.10586	14.2649	 23
DATA	1664361563	556600093	75055	0	""	2022-09-28	12:39:23	12024.305	344.57779	39.828	55.0003	31.6041	34.8853	0.00219875	38.4361	54.4998	1.6	-0.10586	14.2652	 26
DATA	1664361564	556600093	75065	0	""	2022-09-28	12:39:24	12031.634	344.67166	39.8275	55.0003	31.6038	34.8853	0.00219827	38.4375	54.4998	-1.5	-0.10586	14.2649	133
DATA	1664361565	556468009	75075	0	""	2022-09-28	12:39:25	12037.612	344.63177	39.8277	55.0003	31.6053	34.8853	0.00219724	38.4348	54.4998	-36.7	-0.10586	14.2649	198
DATA	1664361566	556468009	75085	0	""	2022-09-28	12:39:26	12043.615	344.17441	39.8267	55.0003	31.6033	34.8853	0.00220487	38.4355	54.4998	5.4	-0.10586	14.2652	 81
